timestamp,object_id,confidence,classification,result
2026-08-01 12:45:39,83,1.00,BASE,PASSED THROUGH
2026-08-01 12:45:49,84,1.00,LID,DIVERTED
2026-08-01 12:46:00,85,1.00,LID,DIVERTED
2026-08-01 12:46:09,86,1.00,BASE,PASSED THROUGH
2026-08-01 12:46:21,87,1.00,LID,DIVERTED
2026-08-01 12:46:30,88,1.00,LID,DIVERTED
2026-08-01 12:46:38,89,1.00,LID,DIVERTED
2026-08-01 12:46:49,90,1.00,BASE,PASSED THROUGH
2026-08-01 12:46:58,91,1.00,BASE,PASSED THROUGH
2026-08-01 12:47:11,92,1.00,LID,DIVERTED
2026-08-01 12:47:20,93,1.00,BASE,PASSED THROUGH
2026-08-01 12:47:26,94,1.00,BASE,PASSED THROUGH
2026-08-01 12:47:37,95,1.00,BASE,PASSED THROUGH
2026-08-01 12:47:49,96,1.00,LID,DIVERTED
2026-08-01 12:47:55,97,1.00,BASE,PASSED THROUGH
2026-08-01 12:48:03,98,1.00,BASE,PASSED THROUGH
2026-08-01 12:48:11,99,1.00,LID,DIVERTED
2026-08-01 12:48:22,100,1.00,BASE,PASSED THROUGH
2026-08-01 12:48:31,101,1.00,LID,DIVERTED
2026-08-01 12:48:39,102,1.00,LID,DIVERTED
2026-08-01 12:48:51,103,1.00,BASE,PASSED THROUGH
2026-08-01 12:49:03,104,1.00,BASE,PASSED THROUGH
2026-08-01 12:49:15,105,1.00,LID,DIVERTED
2026-08-01 12:49:25,106,1.00,BASE,PASSED THROUGH
2026-08-01 21:26:59,0,1.00,BASE,PASSED THROUGH
2026-08-01 21:26:59,1,1.00,BASE,PASSED THROUGH
2026-08-01 21:26:59,2,1.00,BASE,PASSED THROUGH
2026-08-01 21:28:55,0,1.00,BASE,PASSED THROUGH
2026-08-01 21:29:04,1,1.00,BASE,PASSED THROUGH
2026-08-01 21:29:13,2,1.00,BASE,PASSED THROUGH
2026-08-01 21:29:59,0,1.00,BASE,PASSED THROUGH
2026-08-01 21:32:44,0,1.00,LID,DIVERTED
2026-08-01 21:32:52,1,1.00,BASE,PASSED THROUGH
2026-08-01 21:33:02,2,1.00,LID,DIVERTED
2026-08-01 21:33:11,3,1.00,BASE,PASSED THROUGH
2026-08-01 21:33:18,4,1.00,LID,DIVERTED
2026-08-01 21:33:27,5,1.00,BASE,PASSED THROUGH
2026-08-01 21:33:37,6,1.00,BASE,PASSED THROUGH
2026-08-01 21:33:47,7,1.00,LID,DIVERTED
2026-08-01 21:33:56,8,1.00,BASE,PASSED THROUGH
2026-08-01 21:34:06,9,1.00,LID,DIVERTED
2026-08-01 21:34:17,10,1.00,LID,DIVERTED
2026-08-01 21:34:29,11,1.00,LID,DIVERTED
2026-08-01 21:40:57,12,1.00,LID,DIVERTED
2026-08-01 21:41:05,13,1.00,LID,DIVERTED
2026-08-01 21:41:15,14,1.00,LID,DIVERTED
2026-08-01 21:41:26,15,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 21:41:37,16,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 21:41:44,17,1.00,BASE,PASSED THROUGH
2026-08-01 21:41:56,18,1.00,BASE,PASSED THROUGH
2026-08-01 21:42:06,19,1.00,LID,DIVERTED
2026-08-01 21:42:15,20,1.00,LID,DIVERTED
2026-08-01 21:42:24,21,1.00,BASE,PASSED THROUGH
2026-08-01 21:42:36,22,1.00,BASE,PASSED THROUGH
2026-08-01 21:42:43,23,1.00,LID,DIVERTED
2026-08-01 21:42:54,24,1.00,LID,DIVERTED
2026-08-01 21:48:13,25,1.00,BASE,PASSED THROUGH
2026-08-01 21:48:21,26,1.00,LID,DIVERTED
2026-08-01 21:48:29,27,1.00,BASE,PASSED THROUGH
2026-08-01 21:48:39,28,1.00,LID,DIVERTED
2026-08-01 21:48:48,29,1.00,BASE,PASSED THROUGH
2026-08-01 21:49:01,30,1.00,BASE,PASSED THROUGH
2026-08-01 21:49:11,31,1.00,BASE,PASSED THROUGH
2026-08-01 21:49:22,32,1.00,BASE,PASSED THROUGH
2026-08-01 21:49:34,33,1.00,LID,DIVERTED
2026-08-01 21:49:45,34,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 21:49:52,35,1.00,LID,DIVERTED
2026-08-01 21:50:00,36,1.00,LID,DIVERTED
2026-08-01 21:50:13,37,1.00,LID,DIVERTED
2026-08-01 21:50:22,38,1.00,LID,DIVERTED
2026-08-01 21:50:33,39,1.00,LID,DIVERTED
2026-08-01 21:50:44,40,1.00,BASE,PASSED THROUGH
2026-08-01 21:50:55,41,1.00,BASE,PASSED THROUGH
2026-08-01 21:51:05,42,1.00,LID,DIVERTED
2026-08-01 21:51:16,43,1.00,LID,DIVERTED
2026-08-01 21:51:27,44,1.00,BASE,PASSED THROUGH
2026-08-01 21:51:36,45,1.00,BASE,PASSED THROUGH
2026-08-01 21:51:47,46,1.00,LID,DIVERTED
2026-08-01 21:51:56,47,1.00,LID,DIVERTED
2026-08-01 21:52:04,48,1.00,BASE,PASSED THROUGH
2026-08-01 21:52:13,49,1.00,LID,DIVERTED
2026-08-01 21:52:25,50,1.00,LID,DIVERTED
2026-08-01 21:52:34,51,1.00,BASE,PASSED THROUGH
2026-08-01 21:52:46,52,1.00,LID,DIVERTED
2026-08-01 21:52:58,53,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 21:53:06,54,1.00,BASE,PASSED THROUGH
2026-08-01 21:53:17,55,1.00,LID,DIVERTED
2026-08-01 21:53:24,56,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 21:53:35,57,1.00,BASE,PASSED THROUGH
2026-08-01 21:53:43,58,1.00,BASE,PASSED THROUGH
2026-08-01 21:53:53,59,1.00,LID,DIVERTED
2026-08-01 21:54:04,60,1.00,BASE,PASSED THROUGH
2026-08-01 21:54:15,61,1.00,LID,DIVERTED
2026-08-01 21:54:23,62,1.00,LID,DIVERTED
2026-08-01 21:54:30,63,1.00,LID,DIVERTED
2026-08-01 21:54:37,64,1.00,BASE,PASSED THROUGH
2026-08-01 21:54:46,65,1.00,LID,DIVERTED
2026-08-01 21:54:57,66,1.00,LID,DIVERTED
2026-08-01 21:55:09,67,1.00,BASE,PASSED THROUGH
2026-08-01 21:55:20,68,1.00,BASE,PASSED THROUGH
2026-08-01 21:55:29,69,1.00,LID,DIVERTED
2026-08-01 21:55:39,70,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 21:55:48,71,1.00,LID,DIVERTED
2026-08-01 21:56:00,72,1.00,LID,DIVERTED
2026-08-01 21:56:12,73,1.00,LID,DIVERTED
2026-08-01 21:56:21,74,1.00,BASE,PASSED THROUGH
2026-08-01 21:56:31,75,1.00,LID,DIVERTED
2026-08-01 21:56:43,76,1.00,BASE,PASSED THROUGH
2026-08-01 21:56:56,77,1.00,BASE,PASSED THROUGH
2026-08-01 21:57:03,78,1.00,BASE,PASSED THROUGH
